Category,Sub-category,Model Name,Model ID,Min Days,Max Days,Rate,Period
Aerial Work Platforms,Diesel Scissor Lifts,JLG 430LRT,jlg-430lrt,15,999,"4,000.00",Monthly
Aerial Work Platforms,Diesel Scissor Lifts,Genie GS-3390 RT,genie-gs-3390-rt,1,7,800.00,Daily
Aerial Work Platforms,Diesel Scissor Lifts,Genie GS-3390 RT,genie-gs-3390-rt,8,14,"2,000.00",Weekly
Aerial Work Platforms,Diesel Scissor Lifts,Genie GS-3390 RT,genie-gs-3390-rt,15,999,"4,000.00",Monthly
Aerial Work Platforms,Diesel Scissor Lifts,JLG 330LRT,jlg-330lrt,1,7,800.00,Daily
Aerial Work Platforms,Diesel Scissor Lifts,JLG 330LRT,jlg-330lrt,8,14,"2,000.00",Weekly
Aerial Work Platforms,Diesel Scissor Lifts,JLG 330LRT,jlg-330lrt,15,999,"4,000.00",Monthly
Aerial Work Platforms,Electric Scissor Lifts,Genie GS-4047,genie-gs-4047,1,7,800.00,Daily
Aerial Work Platforms,Electric Scissor Lifts,Genie GS-4047,genie-gs-4047,8,14,"2,000.00",Weekly
Aerial Work Platforms,Electric Scissor Lifts,Genie GS-4047,genie-gs-4047,15,999,"4,000.00",Monthly
Aerial Work Platforms,Electric Scissor Lifts,JLG 4045R,jlg-4045r,1,7,800.00,Daily
Aerial Work Platforms,Electric Scissor Lifts,JLG 4045R,jlg-4045r,8,14,"2,000.00",Weekly
Aerial Work Platforms,Electric Scissor Lifts,JLG 4045R,jlg-4045r,15,999,"4,000.00",Monthly
Aerial Work Platforms,Electric Scissor Lifts,Genie GS-3246,genie-gs-3246,1,7,600.00,Daily
Aerial Work Platforms,Electric Scissor Lifts,Genie GS-3246,genie-gs-3246,8,14,"1,500.00",Weekly
Aerial Work Platforms,Electric Scissor Lifts,Genie GS-3246,genie-gs-3246,15,999,"2,700.00",Monthly
Aerial Work Platforms,Electric Scissor Lifts,JLG 3246ES,jlg-3246es,1,7,600.00,Daily
Aerial Work Platforms,Electric Scissor Lifts,JLG 3246ES,jlg-3246es,8,14,"1,500.00",Weekly
Aerial Work Platforms,Electric Scissor Lifts,JLG 3246ES,jlg-3246es,15,999,"2,700.00",Monthly
Aerial Work Platforms,Electric Scissor Lifts,Genie GS-1930,genie-gs-1930,1,7,450.00,Daily
Aerial Work Platforms,Electric Scissor Lifts,Genie GS-1930,genie-gs-1930,8,14,"1,000.00",Weekly
Aerial Work Platforms,Electric Scissor Lifts,Genie GS-1930,genie-gs-1930,15,999,"1,800.00",Monthly
Aerial Work Platforms,Electric Scissor Lifts,JLG 1532R,jlg-1532r,1,7,450.00,Daily
Aerial Work Platforms,Electric Scissor Lifts,JLG 1532R,jlg-1532r,8,14,"1,000.00",Weekly
Aerial Work Platforms,Electric Scissor Lifts,JLG 1532R,jlg-1532r,15,999,"1,800.00",Monthly
Aerial Work Platforms,Personnel Lifts,Genie AWP-30S,genie-awp-30s,1,7,600.00,Daily
Aerial Work Platforms,Personnel Lifts,Genie AWP-30S,genie-awp-30s,8,14,"1,800.00",Weekly
Aerial Work Platforms,Personnel Lifts,Genie AWP-30S,genie-awp-30s,15,999,"2,500.00",Monthly
Aerial Work Platforms,Personnel Lifts,JLG 25AM,jlg-25am,1,7,500.00,Daily
Aerial Work Platforms,Personnel Lifts,JLG 25AM,jlg-25am,8,14,"1,600.00",Weekly
Aerial Work Platforms,Personnel Lifts,JLG 25AM,jlg-25am,15,999,"2,300.00",Monthly
Aerial Work Platforms,Personnel Lifts,Genie AWP-25S,genie-awp-25s,1,7,500.00,Daily
